"uc_id","title","category_id","category_name","subcategory_id","subcategory_name","criticality","difficulty","monitoring_type","splunk_pillar","regulations","app_ta","html_url","json_url"
"UC-1.1.113","SETUID Audit and Tracking","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=linux_audit`","['Security']","security","","['N/A']","/uc/UC-1.1.113/","/uc/UC-1.1.113/index.json"
"UC-1.1.114","Open File Handle Per-Process Monitoring","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=lsof`","['Capacity']","observability","","['N/A']","/uc/UC-1.1.114/","/uc/UC-1.1.114/index.json"
"UC-1.1.115","Listening Port Compliance","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=openPorts, netstat`","['Compliance']","security","","['Endpoint']","/uc/UC-1.1.115/","/uc/UC-1.1.115/index.json"
"UC-1.1.116","Installed Package Drift Detection","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=package`","['Security']","security","","['N/A']","/uc/UC-1.1.116/","/uc/UC-1.1.116/index.json"
"UC-1.1.117","Configuration File Change Tracking (/etc)","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=linux_audit`","['Security']","security","","['N/A']","/uc/UC-1.1.117/","/uc/UC-1.1.117/index.json"
"UC-1.1.118","System Reboot Frequency Anomaly","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=syslog`","['Anomaly']","observability","","['N/A']","/uc/UC-1.1.118/","/uc/UC-1.1.118/index.json"
"UC-1.1.119","Defunct (Zombie) Process Accumulation","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=ps`","['Fault']","observability","","['N/A']","/uc/UC-1.1.119/","/uc/UC-1.1.119/index.json"
"UC-1.1.12","NTP Time Sync Drift (Linux)","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=ntp` (scripted input via `ntpq -p` or `chronyc tracking`)","['Configuration']","observability","","['N/A']","/uc/UC-1.1.12/","/uc/UC-1.1.12/index.json"
"UC-1.1.120","Symbolic Link Chain Depth Monitoring","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=custom:symlink_scan`","['Performance']","observability","","['N/A']","/uc/UC-1.1.120/","/uc/UC-1.1.120/index.json"
"UC-1.1.121","Bootloader Configuration Changes","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=linux_audit`","['Performance']","observability","","['N/A']","/uc/UC-1.1.121/","/uc/UC-1.1.121/index.json"
"UC-1.1.122","Systemd Unit State Monitoring","1","Server & Compute","1.1","Linux Servers","high","`systemctl list-units` output, systemd journal","['Availability', 'Fault']","observability","","['N/A']","/uc/UC-1.1.122/","/uc/UC-1.1.122/index.json"
"UC-1.1.123","Linux Cgroup Resource Pressure (PSI)","1","Server & Compute","1.1","Linux Servers","medium","`/proc/pressure/cpu`, `/proc/pressure/memory`, `/proc/pressure/io`","['Performance']","observability","","['N/A']","/uc/UC-1.1.123/","/uc/UC-1.1.123/index.json"
"UC-1.1.124","Linux Entropy Pool Depletion","1","Server & Compute","1.1","Linux Servers","medium","`/proc/sys/kernel/random/entropy_avail`","['Performance', 'Security']","both","","['N/A']","/uc/UC-1.1.124/","/uc/UC-1.1.124/index.json"
"UC-1.1.125","Linux Journal / Journald Health","1","Server & Compute","1.1","Linux Servers","medium","`journalctl --disk-usage`, `journalctl --verify`","['Availability']","observability","","['N/A']","/uc/UC-1.1.125/","/uc/UC-1.1.125/index.json"
"UC-1.1.126","Chrony / NTP Time Synchronization Drift","1","Server & Compute","1.1","Linux Servers","high","`chronyc tracking`, `ntpq -p`","['Configuration', 'Availability']","observability","","['N/A']","/uc/UC-1.1.126/","/uc/UC-1.1.126/index.json"
"UC-1.1.127","Swap Activity Rate Trending","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=vmstat`","['Performance']","observability","","['Performance']","/uc/UC-1.1.127/","/uc/UC-1.1.127/index.json"
"UC-1.1.128","Filesystem Inode Exhaustion","1","Server & Compute","1.1","Linux Servers","critical","`df -i` output","['Capacity']","observability","","['N/A']","/uc/UC-1.1.128/","/uc/UC-1.1.128/index.json"
"UC-1.1.129","Linux Softirq / Hardirq Time","1","Server & Compute","1.1","Linux Servers","medium","`/proc/interrupts`, `/proc/softirqs`, `mpstat` output","['Performance']","observability","","['Performance']","/uc/UC-1.1.129/","/uc/UC-1.1.129/index.json"
"UC-1.1.13","Zombie Process Accumulation","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=ps` (process listing from Splunk_TA_nix)","['Fault']","observability","","['N/A']","/uc/UC-1.1.13/","/uc/UC-1.1.13/index.json"
"UC-1.1.130","TCP Connection State Distribution (Linux)","1","Server & Compute","1.1","Linux Servers","medium","`ss -s` or `netstat` output","['Performance', 'Fault']","observability","","['N/A']","/uc/UC-1.1.130/","/uc/UC-1.1.130/index.json"
"UC-1.1.131","Linux OOM Killer Invocation Tracking","1","Server & Compute","1.1","Linux Servers","critical","`/var/log/kern.log`, `dmesg`, `sourcetype=syslog`","['Fault']","observability","","['N/A']","/uc/UC-1.1.131/","/uc/UC-1.1.131/index.json"
"UC-1.1.14","File Descriptor Exhaustion","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=openfiles` (custom) or `/proc/sys/fs/file-nr`","['Capacity']","observability","","['N/A']","/uc/UC-1.1.14/","/uc/UC-1.1.14/index.json"
"UC-1.1.15","Network Interface Errors","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=interfaces`","['Performance']","observability","","['Performance']","/uc/UC-1.1.15/","/uc/UC-1.1.15/index.json"
"UC-1.1.16","Package Vulnerability Tracking","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=package` (Splunk_TA_nix), vulnerability scanner output","['Compliance']","security","","['N/A']","/uc/UC-1.1.16/","/uc/UC-1.1.16/index.json"
"UC-1.1.17","Service Availability Monitoring","1","Server & Compute","1.1","Linux Servers","critical","Custom scripted input (`systemctl is-active <service>`)","['Availability']","observability","","['N/A']","/uc/UC-1.1.17/","/uc/UC-1.1.17/index.json"
"UC-1.1.18","User Account Changes","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=linux_secure`, `sourcetype=linux_audit`","['Configuration', 'Compliance']","both","","['Authentication']","/uc/UC-1.1.18/","/uc/UC-1.1.18/index.json"
"UC-1.1.19","Filesystem Read-Only Detection","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=syslog`, `dmesg`","['Fault']","observability","","['N/A']","/uc/UC-1.1.19/","/uc/UC-1.1.19/index.json"
"UC-1.1.2","Memory Pressure Detection (Linux)","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=vmstat`","['Performance']","observability","","['Performance']","/uc/UC-1.1.2/","/uc/UC-1.1.2/index.json"
"UC-1.1.20","Reboot Detection (Linux)","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=syslog`, `sourcetype=who` (wtmp)","['Availability', 'Fault']","both","","['N/A']","/uc/UC-1.1.20/","/uc/UC-1.1.20/index.json"
"UC-1.1.21","Kernel Module Loading Tracking","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=linux_audit, auditctl syscall logs`","['Security']","security","","['N/A']","/uc/UC-1.1.21/","/uc/UC-1.1.21/index.json"
"UC-1.1.22","Sysctl Parameter Changes Detection","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=linux_audit, /proc/sys monitoring`","['Configuration']","observability","","['N/A']","/uc/UC-1.1.22/","/uc/UC-1.1.22/index.json"
"UC-1.1.23","Kernel Core Dump Generation","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=syslog, /var/log/kern.log`","['Fault']","observability","","['N/A']","/uc/UC-1.1.23/","/uc/UC-1.1.23/index.json"
"UC-1.1.24","Kernel Ring Buffer Error Rate","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=syslog, dmesg output`","['Fault']","observability","","['N/A']","/uc/UC-1.1.24/","/uc/UC-1.1.24/index.json"
"UC-1.1.25","NUMA Imbalance Detection","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=custom:numa_stats`","['Performance']","observability","","['N/A']","/uc/UC-1.1.25/","/uc/UC-1.1.25/index.json"
"UC-1.1.26","CPU Frequency Scaling Events","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=linux_audit OR custom:cpufreq`","['Performance']","observability","","['N/A']","/uc/UC-1.1.26/","/uc/UC-1.1.26/index.json"
"UC-1.1.27","CPU Steal Time Elevation (Virtual Machines)","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=vmstat`","['Performance']","observability","","['Performance']","/uc/UC-1.1.27/","/uc/UC-1.1.27/index.json"
"UC-1.1.28","IRQ Imbalance Across CPU Cores","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=custom:irq_stats, /proc/interrupts`","['Performance']","observability","","['N/A']","/uc/UC-1.1.28/","/uc/UC-1.1.28/index.json"
"UC-1.1.29","Context Switch Rate Anomaly Detection (Linux)","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=vmstat`","['Anomaly']","observability","","['Performance']","/uc/UC-1.1.29/","/uc/UC-1.1.29/index.json"
"UC-1.1.3","Disk Capacity Forecasting (Linux)","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=df`","['Capacity']","observability","","['Performance']","/uc/UC-1.1.3/","/uc/UC-1.1.3/index.json"
"UC-1.1.30","Scheduler Latency and Run Queue Depth","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=vmstat, top, custom:sched_latency`","['Performance']","observability","","['Performance']","/uc/UC-1.1.30/","/uc/UC-1.1.30/index.json"
"UC-1.1.31","Hugepage Allocation and Usage","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=custom:hugepages, /proc/meminfo`","['Performance']","observability","","['N/A']","/uc/UC-1.1.31/","/uc/UC-1.1.31/index.json"
"UC-1.1.32","Transparent Hugepage Compaction Stalls","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=syslog, /sys/kernel/debug/thp_collapse_alloc`","['Performance']","observability","","['N/A']","/uc/UC-1.1.32/","/uc/UC-1.1.32/index.json"
"UC-1.1.33","Inode Exhaustion Detection","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=df`","['Capacity']","observability","","['Performance']","/uc/UC-1.1.33/","/uc/UC-1.1.33/index.json"
"UC-1.1.34","RAID Array Degradation Detection","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=custom:raid, /proc/mdstat`","['Fault']","observability","","['N/A']","/uc/UC-1.1.34/","/uc/UC-1.1.34/index.json"
"UC-1.1.35","LVM Thin Pool Capacity Monitoring","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=custom:lvm_thin, lvs output`","['Capacity']","observability","","['N/A']","/uc/UC-1.1.35/","/uc/UC-1.1.35/index.json"
"UC-1.1.36","Multipath I/O Failover Events","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=syslog, multipathd logs`","['Availability']","observability","","['N/A']","/uc/UC-1.1.36/","/uc/UC-1.1.36/index.json"
"UC-1.1.37","NFS Mount Stale Handle Detection","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=syslog, kernel NFS logs`","['Fault']","observability","","['N/A']","/uc/UC-1.1.37/","/uc/UC-1.1.37/index.json"
"UC-1.1.38","Filesystem Journal Errors","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=syslog, kernel logs`","['Fault']","observability","","['N/A']","/uc/UC-1.1.38/","/uc/UC-1.1.38/index.json"
"UC-1.1.39","Ext4 Filesystem Errors and Recovery","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=syslog, dmesg`","['Fault']","observability","","['N/A']","/uc/UC-1.1.39/","/uc/UC-1.1.39/index.json"
"UC-1.1.4","Disk I/O Saturation (Linux)","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=iostat`","['Performance']","observability","","['Performance']","/uc/UC-1.1.4/","/uc/UC-1.1.4/index.json"
"UC-1.1.40","XFS Filesystem Errors and Recovery","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=syslog, kernel logs`","['Fault']","observability","","['N/A']","/uc/UC-1.1.40/","/uc/UC-1.1.40/index.json"
"UC-1.1.41","Disk SMART Health Monitoring","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=custom:smartctl, smartmontools output`","['Fault']","observability","","['N/A']","/uc/UC-1.1.41/","/uc/UC-1.1.41/index.json"
"UC-1.1.42","SSD Wear Leveling and Health","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=custom:nvme, nvme-cli output`","['Fault']","observability","","['N/A']","/uc/UC-1.1.42/","/uc/UC-1.1.42/index.json"
"UC-1.1.43","Fstrim and TRIM Command Monitoring","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=syslog, custom:fstrim_status`","['Performance']","observability","","['N/A']","/uc/UC-1.1.43/","/uc/UC-1.1.43/index.json"
"UC-1.1.44","Memory Leak Detection Per Process","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=top, custom:proc_rss_tracking`","['Fault']","observability","","['N/A']","/uc/UC-1.1.44/","/uc/UC-1.1.44/index.json"
"UC-1.1.45","Swap Thrashing Detection","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=vmstat`","['Fault']","observability","","['Performance']","/uc/UC-1.1.45/","/uc/UC-1.1.45/index.json"
"UC-1.1.46","Slab Cache Growth Monitoring","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=custom:slabinfo, /proc/slabinfo`","['Performance']","observability","","['N/A']","/uc/UC-1.1.46/","/uc/UC-1.1.46/index.json"
"UC-1.1.47","Page Cache Pressure and Reclaim Activity","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=custom:meminfo_delta, /proc/vmstat`","['Performance']","observability","","['N/A']","/uc/UC-1.1.47/","/uc/UC-1.1.47/index.json"
"UC-1.1.48","NUMA Memory Imbalance Per Node","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=custom:numa_meminfo`","['Performance']","observability","","['N/A']","/uc/UC-1.1.48/","/uc/UC-1.1.48/index.json"
"UC-1.1.49","Memory Cgroup Limit Enforcement","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=syslog, custom:cgroup_memory`","['Performance']","observability","","['N/A']","/uc/UC-1.1.49/","/uc/UC-1.1.49/index.json"
"UC-1.1.5","System Load Anomalies","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=vmstat` (includes `loadAvg1mi`) or custom `uptime` scripted input","['Performance']","observability","","['Performance']","/uc/UC-1.1.5/","/uc/UC-1.1.5/index.json"
"UC-1.1.50","Transparent Hugepage Defragmentation Stalls","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=syslog, THP metrics`","['Performance']","observability","","['N/A']","/uc/UC-1.1.50/","/uc/UC-1.1.50/index.json"
"UC-1.1.51","TCP Retransmission Rate Elevation","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=custom:tcp_stats, /proc/net/tcp`","['Performance']","observability","","['N/A']","/uc/UC-1.1.51/","/uc/UC-1.1.51/index.json"
"UC-1.1.52","Connection Tracking Table Exhaustion","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=custom:conntrack, /proc/net/nf_conntrack`","['Capacity']","observability","","['N/A']","/uc/UC-1.1.52/","/uc/UC-1.1.52/index.json"
"UC-1.1.53","Socket Buffer Overflow Detection","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=custom:socket_stats, /proc/net/sockstat`","['Performance']","observability","","['N/A']","/uc/UC-1.1.53/","/uc/UC-1.1.53/index.json"
"UC-1.1.54","Network Namespace Monitoring","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=custom:netns, /var/run/netns/`","['Security']","security","","['Performance']","/uc/UC-1.1.54/","/uc/UC-1.1.54/index.json"
"UC-1.1.55","DNS Resolution Failure Rate","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=syslog, systemd-resolved logs`","['Availability']","observability","","['N/A']","/uc/UC-1.1.55/","/uc/UC-1.1.55/index.json"
"UC-1.1.56","Firewall Rule Hit Tracking (iptables/nftables)","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=syslog, kernel ufw/firewall logs`","['Security']","security","","['N/A']","/uc/UC-1.1.56/","/uc/UC-1.1.56/index.json"
"UC-1.1.57","ARP Table Overflow Detection","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=custom:arp, /proc/net/arp`","['Security']","security","","['N/A']","/uc/UC-1.1.57/","/uc/UC-1.1.57/index.json"
"UC-1.1.58","Network Bond Failover Events (Linux)","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=syslog, bonding driver logs`","['Availability']","observability","","['Performance']","/uc/UC-1.1.58/","/uc/UC-1.1.58/index.json"
"UC-1.1.59","Network Team Failover Detection (Linux)","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=syslog, teamd logs`","['Availability']","observability","","['Performance']","/uc/UC-1.1.59/","/uc/UC-1.1.59/index.json"
"UC-1.1.6","Process Crash Detection (Linux)","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=syslog`, `/var/log/messages`, `/var/log/syslog`","['Fault']","observability","","['Endpoint']","/uc/UC-1.1.6/","/uc/UC-1.1.6/index.json"
"UC-1.1.60","MTU Mismatch Detection","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=custom:mtu, ip link show output`","['Performance']","observability","","['N/A']","/uc/UC-1.1.60/","/uc/UC-1.1.60/index.json"
"UC-1.1.61","TCP TIME_WAIT Accumulation","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=custom:netstat, netstat output`","['Performance']","observability","","['N/A']","/uc/UC-1.1.61/","/uc/UC-1.1.61/index.json"
"UC-1.1.62","Network Bandwidth Utilization by Interface (Linux)","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=interfaces`","['Performance']","observability","","['Performance']","/uc/UC-1.1.62/","/uc/UC-1.1.62/index.json"
"UC-1.1.63","Dropped Packets by Network Interface","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=interfaces`","['Performance']","observability","","['Performance']","/uc/UC-1.1.63/","/uc/UC-1.1.63/index.json"
"UC-1.1.64","Network Latency Monitoring (Ping RTT)","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=custom:ping_rtt`","['Performance']","observability","","['Performance']","/uc/UC-1.1.64/","/uc/UC-1.1.64/index.json"
"UC-1.1.65","Auditd Rule Violation Detection","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=linux_audit`","['Security']","security","EU AI Act,FDA Part 11,FedRAMP,HITRUST,SWIFT CSP","['N/A']","/uc/UC-1.1.65/","/uc/UC-1.1.65/index.json"
"UC-1.1.66","SELinux Denial Monitoring","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=syslog, /var/log/audit/audit.log`","['Security']","security","","['N/A']","/uc/UC-1.1.66/","/uc/UC-1.1.66/index.json"
"UC-1.1.67","AppArmor Profile Violation Detection","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=syslog, AppArmor audit logs`","['Security']","security","","['N/A']","/uc/UC-1.1.67/","/uc/UC-1.1.67/index.json"
"UC-1.1.68","Rootkit Detection via File Integrity","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=custom:aide, AIDE database changes`","['Security']","security","","['N/A']","/uc/UC-1.1.68/","/uc/UC-1.1.68/index.json"
"UC-1.1.69","SUID/SGID Binary Changes","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=linux_audit`","['Security']","security","","['N/A']","/uc/UC-1.1.69/","/uc/UC-1.1.69/index.json"
"UC-1.1.7","OOM Killer Events","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=syslog`, `dmesg`","['Fault']","observability","","['N/A']","/uc/UC-1.1.7/","/uc/UC-1.1.7/index.json"
"UC-1.1.70","/etc/passwd Modifications","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=linux_audit`","['Security']","security","","['N/A']","/uc/UC-1.1.70/","/uc/UC-1.1.70/index.json"
"UC-1.1.71","/etc/shadow Modifications","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=linux_audit`","['Security']","security","","['N/A']","/uc/UC-1.1.71/","/uc/UC-1.1.71/index.json"
"UC-1.1.72","SSH Public Key Changes","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=linux_audit`","['Security']","security","","['Authentication']","/uc/UC-1.1.72/","/uc/UC-1.1.72/index.json"
"UC-1.1.73","PAM Authentication Failure Tracking","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=linux_secure`","['Security']","security","","['Authentication']","/uc/UC-1.1.73/","/uc/UC-1.1.73/index.json"
"UC-1.1.74","Login from Unusual Source IPs","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=linux_secure`","['Security']","security","","['Authentication']","/uc/UC-1.1.74/","/uc/UC-1.1.74/index.json"
"UC-1.1.75","Failed su Attempts","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=linux_secure`","['Security']","security","","['Authentication']","/uc/UC-1.1.75/","/uc/UC-1.1.75/index.json"
"UC-1.1.76","Privilege Escalation Detection","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=linux_secure`","['Security']","security","ASD E8,FedRAMP,RBI Cyber,SAMA CSF","['Authentication']","/uc/UC-1.1.76/","/uc/UC-1.1.76/index.json"
"UC-1.1.77","Unauthorized Cron Job Additions","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=linux_audit`","['Security']","security","","['N/A']","/uc/UC-1.1.77/","/uc/UC-1.1.77/index.json"
"UC-1.1.78","Open Port Changes","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=openPorts`","['Security']","security","","['N/A']","/uc/UC-1.1.78/","/uc/UC-1.1.78/index.json"
"UC-1.1.79","Setcap Binary Monitoring","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=linux_audit`","['Security']","security","","['N/A']","/uc/UC-1.1.79/","/uc/UC-1.1.79/index.json"
"UC-1.1.8","SSH Brute-Force Detection","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=linux_secure` (`/var/log/auth.log` or `/var/log/secure`)","['Security']","security","","['Authentication']","/uc/UC-1.1.8/","/uc/UC-1.1.8/index.json"
"UC-1.1.80","Systemd Unit Failures","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=syslog`","['Availability']","observability","","['N/A']","/uc/UC-1.1.80/","/uc/UC-1.1.80/index.json"
"UC-1.1.81","Systemd Timer Missed Triggers","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=syslog`","['Fault']","observability","","['N/A']","/uc/UC-1.1.81/","/uc/UC-1.1.81/index.json"
"UC-1.1.82","D-State (Uninterruptible Sleep) Process Detection","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=ps`","['Fault']","observability","","['N/A']","/uc/UC-1.1.82/","/uc/UC-1.1.82/index.json"
"UC-1.1.83","Process CPU Affinity Changes","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=linux_audit`","['Performance']","observability","","['N/A']","/uc/UC-1.1.83/","/uc/UC-1.1.83/index.json"
"UC-1.1.84","Runaway Process Detection (CPU Hog)","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=top`","['Performance']","observability","","['N/A']","/uc/UC-1.1.84/","/uc/UC-1.1.84/index.json"
"UC-1.1.85","Memory Hog Detection","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=top`","['Fault']","observability","","['N/A']","/uc/UC-1.1.85/","/uc/UC-1.1.85/index.json"
"UC-1.1.86","Fork Bomb Detection","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=custom:process_count`","['Fault']","observability","","['N/A']","/uc/UC-1.1.86/","/uc/UC-1.1.86/index.json"
"UC-1.1.87","Process Namespace Breakout Detection","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=linux_audit`","['Security']","security","","['N/A']","/uc/UC-1.1.87/","/uc/UC-1.1.87/index.json"
"UC-1.1.88","Container Escape Attempt Detection","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=syslog, AppArmor/SELinux denials`","['Security']","security","","['N/A']","/uc/UC-1.1.88/","/uc/UC-1.1.88/index.json"
